,filename,original_index,easting,northing,i,j,hilltop_id,Cht,S,R,Lh,BasinID,a,b,StreamID,HilltopSlope,DivergentCount,PlanarCountFlag,E_Star,R_Star,EucDist,tile_number,EPSG,latitude,longitude,an_avg_ETR,an_avg_TMAX,an_avg_TMIN,an_cv_AET,an_cv_ETR,an_cv_PET,an_cv_PRCP,an_cv_WDI,an_sd_GDD0,an_sd_GDD5,an_sd_TMAX,an_sd_TMIN,an_sum_AET,an_sum_GDD0,an_sum_GDD5,an_sum_PET,an_sum_PRCP,an_sum_WDI
0,tile_0_filled_HilltopData,43676.5,596839.0,4239600.0,1480.0,1665.0,2.0,-0.01333905,0.3040975,42.51545,138.399,219.0,1576.0,1719.0,1.0,0.22822900000000002,30.0,130.0,4.107635,0.38012199999999996,132.0035,0,32617.0,38.299213407258975,-79.89251492357772,0.9782529583469342,-1.0048484623883709,-11.878636098128151,1.1466400920581852,0.06037968463234954,1.1390762948433495,0.40117709286188313,0.3506914497967571,120.57144967701161,57.70969591709146,11.409201710042373,12.894360018860219,119.11818359318104,974.8545599810102,397.290915011005,119.70909269289537,1670.4636612554843,1550.754568562589
1,tile_10_filled_HilltopData,50166.5,728203.0,4447820.0,1131.0,1668.0,2.0,-0.004358745000000001,0.23649949999999997,71.25745,294.03049999999996,346.0,1423.0,1983.0,1.0,0.185639,7.0,356.0,2.886625,0.295624,282.2805,10,32617.0,40.149708170886775,-78.32080722651293,1.0,-5.921893807029295,-15.004620876741793,1.7830195890261467,-1.7e+308,1.7830195890261467,0.4980833794236473,0.47543723112242336,67.22946522459893,17.80399800702761,11.497525699717727,11.898674168607918,33.600000500679016,470.7272797416557,106.83636522834951,33.600000500679016,1474.3636583333666,1440.7636578326876
2,tile_11_filled_HilltopData,41335.0,756002.0,4455710.0,1291.0,1241.0,1.0,-0.00471448,0.228193,55.8374,249.348,277.0,1401.0,1249.0,1.0,0.174173,0.0,300.0,2.55243,0.285242,242.78,11,32618.0,40.21270760530929,-77.99169550007785,1.0,-5.806211991433167,-14.215454227714377,2.125394468195401,-1.7e+308,2.125394468195401,0.48125616686634803,0.4626585584836305,71.37852193890993,20.104329277164656,11.382587038977437,11.699727293228985,26.636364033276383,496.0272801186551,117.7636381184513,26.636364033276383,1432.3909304351969,1405.7545664019206
3,tile_12_filled_HilltopData,30056.0,808158.0,4468930.0,1308.0,1654.0,1.0,-0.00486999,0.227165,36.6263,170.509,298.0,1108.0,1552.0,1.0,0.208818,0.0,211.0,1.61671,0.283957,166.615,12,32618.0,40.31416564751349,-77.37393242064248,1.0,-5.141363521445204,-13.15204516057433,1.9219077972767977,-1.7e+308,1.9219077972767977,0.46390447151612735,0.44269676159623783,79.50387673566736,25.094927175710673,11.310353893640501,11.521231592239133,36.21818235787478,566.3727357123386,151.5363658944314,36.21818235787478,1421.6727484573019,1385.454566099427
4,tile_13_filled_HilltopData,25936.5,771509.0,4474520.0,1373.0,1803.0,1.0,-0.00492523,0.2767025,43.5755,182.0635,278.0,1241.0,1644.0,1.0,0.2209105,6.0,209.0,2.0125599999999997,0.3458785,175.7465,13,32618.0,40.377102173448385,-77.80204603158306,1.0,-5.806211991433167,-14.215454227714377,2.125394468195401,-1.7e+308,2.125394468195401,0.48125616686634803,0.4626585584836305,71.37852193890993,20.104329277164656,11.382587038977437,11.699727293228985,26.636364033276383,496.0272801186551,117.7636381184513,26.636364033276383,1432.3909304351969,1405.7545664019206
5,tile_14_filled_HilltopData,29299.5,796112.0,4477690.0,1503.0,1360.0,2.0,-0.00463187,0.1391125,22.935299999999998,161.485,357.0,1516.0,1260.0,1.0,0.117319,0.0,205.0,1.590185,0.1738905,153.92000000000002,14,32618.0,40.397421558101705,-77.51126658400996,1.0,-5.806211991433167,-14.215454227714377,2.125394468195401,-1.7e+308,2.125394468195401,0.48125616686634803,0.4626585584836305,71.37852193890993,20.104329277164656,11.382587038977437,11.699727293228985,26.636364033276383,496.0272801186551,117.7636381184513,26.636364033276383,1432.3909304351969,1405.7545664019206
6,tile_15_filled_HilltopData,53003.0,743624.0,4487690.0,1472.0,1465.0,2.0,-0.005128,0.224385,45.7696,222.894,330.0,1313.0,1789.0,1.0,0.189354,0.0,271.0,2.32958,0.280482,215.693,15,32617.0,40.50425480517671,-78.12494339818748,0.990909090909091,-7.600075587700826,-16.245378424766276,1.9791356713376873,-1.7e+308,1.9784540603454936,0.5324490701899744,0.5159256760829959,50.441578608553385,9.257854191024721,11.445384706453538,11.890823901773292,23.26363671029156,333.07273223589766,51.69090986116366,23.272727619517934,1375.3182023120198,1352.0454746925018
7,tile_16_filled_HilltopData,51987.0,723661.0,4476170.0,1786.0,1456.0,2.0,-0.00413392,0.201987,65.395,311.607,112.0,1498.0,1805.0,1.0,0.182092,0.0,394.0,2.62023,0.252484,300.18,16,32617.0,40.40616554421863,-78.36421294682037,1.0,-5.921893807029295,-15.004620876741793,1.7830195890261467,-1.7e+308,1.7830195890261467,0.4980833794236473,0.47543723112242336,67.22946522459893,17.80399800702761,11.497525699717727,11.898674168607918,33.600000500679016,470.7272797416557,106.83636522834951,33.600000500679016,1474.3636583333666,1440.7636578326876
8,tile_17_filled_HilltopData,30557.5,824388.0,4497110.0,1394.0,1641.0,1.0,-0.005273445,0.2192285,47.2234,203.9625,188.0,1381.0,1575.0,1.0,0.181173,0.0,245.0,2.289855,0.2740355,196.482,17,32618.0,40.56124035544938,-77.1686981928725,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
9,tile_18_filled_HilltopData,27079.5,792787.0,4498870.0,1288.0,2014.0,2.0,-0.004977375,0.25065649999999995,77.87615,331.65250000000003,165.0,1449.0,1841.0,1.0,0.160076,11.0,392.0,3.2668049999999997,0.31332099999999996,320.80150000000003,18,32618.0,40.588825701311535,-77.54033659486836,1.0,-7.847727097316899,-15.56749965203926,2.3463231215498404,-1.7e+308,2.3463231215498404,0.5135998022489345,0.5007548681062038,51.0249122452201,9.637911740044112,11.289338435484773,11.761653448093483,17.13636389171535,336.38182319429785,53.25454624810002,17.13636389171535,1306.472746740688,1289.3363828489726
