Sample Ida,[9Bereac] (atoms g-1)b,[9Bemin] (atoms g-1)b,10Bei LLNL #,Quartz mass (g),9Be Carrier Mass (μg),Blank-corrected AMS 10Bei/9Becarrier ratio , Blank-corrected AMS 10Bei/9Becarrier ratio ± 1σ,[10Bei] (atoms g-1),[10Bei] (atoms g-1) ± 1σ ,10Bei prod. Rate (atoms g-1 yr-1)c,10Bem LLNL #,Sample mass (g),9Be Carrier Mass (μg),Blank-corrected AMS 10Bemet/9Becarrier ratio ,Blank-corrected AMS 10Bemet/9Becarrier ratio  ± 1σ,[10Bem] (atoms g-1),[10Bem] (atoms g-1)d ± 1σ,10Bem deposition rate (atoms cm-2 yr-1 x106)e,
POT29,9.25E+16,1.09732E+17,BE29092,22.22,241.1,6.87367E-13,1.61402E-14,498378.5216,11702.56297,4.34,BE27775,0.474,299.4,1.78154E-11,2.7154E-13,752000000,11500000,1.94,
POT30,5.29E+16,1.70779E+16,BE29093,20.55,249,3.81681E-13,9.12253E-15,309103.7264,7387.870076,4.47,BE27776,0.542,300.4,2.5478E-11,1.48467E-13,944000000,5500000,1.96,
POT31,1.512E+17,,BE29094,13.18,249.1,5.04923E-13,1.17468E-14,637818.2922,14838.54151,4.21,BE28973,0.498,299.4,3.79969E-11,4.99519E-13,1527000000,20100000,1.87,
POT32,1.33E+16,2.48378E+16,BE29095,20.63,248.3,1.21788E-12,2.03117E-14,979779.5461,16340.7535,4.35,BE28974,0.545,298.4,1.98929E-12,2.15615E-14,73000000,800000,1.89,
POT33,3.88E+16,7.95353E+16,BE29084,22.72,248.4,9.40965E-13,1.43604E-14,687521.0306,10492.47106,4.38,BE28975,0.536,300.4,1.04999E-11,7.29697E-14,393000000,2700000,1.89,
POT34,2.17E+16,5.6155E+16,BE29085,22.78,251.1,4.11332E-13,9.82196E-15,303020.5708,7235.649337,4.41,BE28976,0.532,298.4,4.2255E-12,3.26072E-14,158000000,1200000,1.91,
POT35,6.15E+16,9.51328E+16,BE29096,20.06,249.3,4.04629E-13,9.48987E-15,336039.2376,7881.205395,4.37,BE28977,0.533,299.4,1.72886E-11,1.19821E-13,649000000,4500000,1.9,
POT36,2.37E+16,5.12871E+16,BE29097,18.94,251.1,5.11905E-13,9.35727E-15,452780.1406,8276.507429,4.7,BE29391,0.546,300.4,5.02391E-12,5.39071E-14,185000000,2000000,1.96,
POT37,2.5E+16,5.29813E+16,BE29099,18.42,249.1,3.03085E-13,7.21368E-15,273908.2329,6519.239852,4.83,BE29392,0.522,299.4,4.878E-12,4.58125E-14,187000000,1800000,1.92,
POT38,1.14E+17,3.63868E+16,BE29100,18.52,248.3,3.1188E-13,7.39162E-15,279500.9186,6624.225869,4.86,BE29393,0.514,297.4,2.31457E-11,2.29666E-13,895000000,8900000,1.81,
