ref_id,reference,onlink
WV001,"Cardwell, D.H., Erwin, R.B., and Woodward, H.P., 1968 (slightly revised 1986), Geologic Map of West Virginia: West Virginia Geological and Economic Survey, Map 1, East Sheet, scale 1:250,000.  ",
WV002,Digital version of 1968 printed map available from http://wvgis.wvu.edu/data/data.php with the specific data available from http://wvgis.wvu.edu/data/dataset.php?action=search&ID=43 ,
WV003,USGS Geologic Names Lexicon (GEOLEX),http://ngmdb.usgs.gov/Geolex/
