unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
MDTRno;2,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
MDTRno;2,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDTRno;2,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
MDTRno;2,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate,,basal conglomerate is limestone conglomerate to south of Maryland Rte. 73 and quartz conglomerate to north of Maryland Rte. 73 
MDTRqc;2,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,,"basal conglomerate member: From vicinity of Maryland Rte. 73 northward, quartz conglomerate with red sandy matrix;  "
MDTs;5,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,, 
MDTs;5,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
MDuf;3,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
MDuf;3,Major,Metamorphic,Metasedimentary,Metaclastic,Metasiltstone,,Metasiltstone,,meta-argillite 
MDuf;3,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDuf;3,Minor,Metamorphic,Metasedimentary,Metacarbonate,Marble,,Marble,, 
MDug;7,"Indeterminate, major",Metamorphic,Metaigneous,Metaintrusive,Metagabbro,,Metagabbro,, 
MDug;7,"Indeterminate, major",Metamorphic,Metaigneous,Metaintrusive,Metaultramafic,Metapyroxenite,Metapyroxenite,, 
MDug;7,"Indeterminate, major",Metamorphic,Metaigneous,Serpentinite,,,Serpentinite,, 
MDug;7,"Indeterminate, major",Metamorphic,Schist,,,,Schist,,"actinolite-, chlorite-, and epidote-bearing schists "
MDum;7,Major,Metamorphic,Metaigneous,Serpentinite,,,Serpentinite,, 
MDum;7,Incidental,Igneous,Plutonic,Ultramafic,Peridotite,Dunite,Dunite,, 
MDum;7,Incidental,Igneous,Plutonic,Ultramafic,Peridotite,,Peridotite,, 
MDwf;2,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDwf;2,Minor,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
MDwf;2,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,,quartz conglomerate 
MDwlps;4,Major,Metamorphic,Schist,Mica-schist,Biotite-schist,,Biotite-schist,,"Medium- to coarse-grained biotite-oligoclase-muscovite-quartz schist with garnet, staurolite, and kyanite; fine- to medium-grained semipelitic schist "
MDwm;3,Major,Metamorphic,Metasedimentary,Metacarbonate,Marble,,Marble,, 
MDwmc;4,Major,Metamorphic,Metasedimentary,Metaclastic,Metaconglomerate,,Metaconglomerate,,meta-conglomerate 
MDwmc;4,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDwmg;4,Major,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,Metagraywacke,Metagraywacke,,meta-graywacke 
MDwmg;4,Major,Metamorphic,Schist,Mica-schist,Muscovite-schist,,Muscovite-schist,, 
MDwu;3,Major,Metamorphic,Schist,Mica-schist,Muscovite-schist,,Muscovite-schist,, 
MDwu;3,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDwu;3,Incidental,Metamorphic,Schist,,,,Schist,,chloritoid schist 
MDwups;4,Major,Metamorphic,Schist,Quartz-feldspar-schist,,,Quartz-feldspar-schist,, 
MDwups;4,Incidental,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
