,unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
1667,VAYpg;0,Major,Metamorphic,Granulite,,,,Granulite,, 
1668,VAYpp;0,Major,Metamorphic,Granulite,,,,Granulite,, 
1669,VAYq;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
1670,VAYq;0,Minor,Tectonite,,,,,Tectonite,, 
1671,VAYra;0,Major,Igneous,Plutonic,Anorthosite,,,Anorthosite,, 
1672,VAYsc;0,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,,augen gneiss and flaser gneiss 
1673,VAYsf;0,Major,Metamorphic,Gneiss,Hornblende-gneiss,,,Hornblende-gneiss,,hornblende-biotite gneiss 
1674,VAYsh;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1675,VAYt;0,Major,Metamorphic,Metaigneous,Metaintrusive,Metagranite,,Metagranite,,"biotite gneiss, metatrondhjemite "
1676,VAYum;0,Major,Metamorphic,Metaigneous,Metaintrusive,Metaultramafic,Metaperidotite,Metaperidotite,, 
1677,VAYum;0,Major,Metamorphic,Metaigneous,Metaintrusive,Metagabbro,,Metagabbro,, 
1678,VAYum;0,Major,Metamorphic,Metaigneous,Metaintrusive,Metaultramafic,Metapyroxenite,Metapyroxenite,, 
1679,VAZa;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
1680,VAZa;0,Major,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,, 
1681,VAZa;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,,Metasandstone,, 
1682,VAZaa;0,Major,Metamorphic,Amphibolite,,,,Amphibolite,, 
1683,VAZac;0,Major,Metamorphic,Metasedimentary,Metaclastic,Metaconglomerate,,Metaconglomerate,,meta-conglomerate 
1684,VAZac;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,,Metasandstone,,meta-conglomerate 
1685,VAZam;0,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,,biotite gneiss 
1686,VAZas;0,Major,Metamorphic,Schist,Mica-schist,,,Mica-schist,, 
1687,VAZas;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
1688,VAZau;0,Major,Metamorphic,Gneiss,,,,Gneiss,,biotite gneiss 
1689,VAZau;0,Minor,Metamorphic,Amphibolite,,,,Amphibolite,, 
1690,VAZau;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
1691,VAZav;0,Major,Igneous,Volcanic,Felsic-volcanic,,,Felsic-volcanic,, 
1692,VAZav;0,Major,Sedimentary,Clastic,Mixed-clastic,,,Mixed-clastic,, 
1693,VAZbg;0,Major,Metamorphic,Gneiss,,,,Gneiss,,biotite gneiss and granitic gneiss 
1694,VAZch;0,Major,Metamorphic,Metasedimentary,Metaclastic,Argillite,,Argillite,,meta-argillite 
1695,VAZch;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasiltstone,,Metasiltstone,,meta-argillite 
1696,VAZch;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
1697,VAZch;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,,Metasandstone,,meta-argillite 
1698,VAZch;0,Incidental,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
1699,VAZch;0,Incidental,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,, 
1700,VAZfa;0,Major,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,,Metasandstone,, 
1701,VAZfc;0,Major,Metamorphic,Metasedimentary,Metaclastic,Metaconglomerate,,Metaconglomerate,, 
1702,VAZfl;0,Major,Metamorphic,Metasedimentary,Metaclastic,Metasiltstone,,Metasiltstone,,meta-argillite 
1703,VAZfl;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
1704,VAZfs;0,Major,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,,Metasandstone,, 
1705,VAZfs;0,Major,Metamorphic,Metasedimentary,Metaclastic,Metasiltstone,,Metasiltstone,, 
1706,VAZgd;0,Major,Igneous,Plutonic,Granitic,Granodiorite,,Granodiorite,, 
1707,VAZgd;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1708,VAZgd;0,Incidental,Igneous,Plutonic,Granitic,Leucocratic-granitic,Aplite,Aplite,Dike or sill, 
1709,VAZgd;0,Incidental,Igneous,Plutonic,Granitic,Leucocratic-granitic,Pegmatite,Pegmatite,Dike or sill, 
1710,VAZgdm;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1711,VAZgdr;0,Major,Igneous,Plutonic,Granitic,Granodiorite,,Granodiorite,, 
1712,VAZgds;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1713,VAZgds;0,Major,Igneous,Plutonic,Syenitic,Syenite,,Syenite,, 
1714,VAZgs;0,Major,Metamorphic,Metaigneous,Greenstone,,,Greenstone,, 
1715,VAZgs;0,Major,Metamorphic,Metasedimentary,,,,Metasedimentary,, 
1716,VAZh;0,Major,Metamorphic,Metaigneous,Metavolcanic,,,Metavolcanic,, 
1717,VAZhf;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
1718,VAZhf;0,Major,Metamorphic,Metaigneous,Metavolcanic,,,Metavolcanic,,felsic metavolcanic 
1719,VAZkr;0,Major,Tectonite,Cataclasite,,,,Cataclasite,,sedimentary breccia 
1720,VAZkr;0,Major,Sedimentary,Clastic,Sandstone,Arkose,,Arkose,,sedimentary breccia 
1721,VAZlc;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
1722,VAZlc;0,Major,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,Metagraywacke,Metagraywacke,, 
1723,VAZlf;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
1724,VAZlg;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
1725,VAZlg;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,,meta-argillite 
1726,VAZlg;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasiltstone,,Metasiltstone,,meta-argillite 
1727,VAZlg;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,,meta-argillite 
1728,VAZlm;0,Major,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,Metagraywacke,Metagraywacke,, 
1729,WVCAa;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1730,WVCApCAc;0,Minor,Metamorphic,Schist,,,,Schist,, 
1731,WVPAa;0,Minor,Sedimentary,Coal,,,,Coal,, 
1732,WVDhs;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,fine micaceous sandstones 
1733,WVMg;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,,marine limestone 
1734,WVObrr;0,Minor,Sedimentary,Chemical,Chert,,,Chert,Bed,containing gray chert and zones of Cryptozoa and Lecanospira 
1735,WVObrr;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed, 
1736,WVPAk;0,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1737,WVCAwy;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1738,WVDb;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Lense, 
1739,WVCApCAc;0,Incidental,Metamorphic,Amphibolite,,,,Amphibolite,, 
1740,WVMg;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,marine and non-marine red and gray shale 
1741,WVPAm;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1742,WVPAa;0,"Indeterminate, major",Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1743,WVPAk;0,Incidental,Sedimentary,Coal,,,,Coal,, 
1744,WVCApCAc;0,Incidental,Metamorphic,Gneiss,,,,Gneiss,, 
1745,WVPAc;0,Minor,Sedimentary,Coal,,,,Coal,, 
1746,WVCAwy;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1747,WVCAwy;0,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
1748,WVDhs;0,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
1749,WVCAh;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,,greenish-gray phyllite 
1750,WVDb;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,"predominantly olive-gray to dark, thickly laminated marine shale "
1751,WVMmcc;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,red shale and mudrock 
1752,WVDhs;0,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1753,WVDb;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1754,WVDmt;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,thickly laminated marine shale 
1755,WVCAa;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,,"gray to white quartzite; thick-bedded, and resistant; contains Scolithus "
1756,WVCAa;0,Incidental,Metamorphic,Schist,,,,Schist,,quartz-schist 
1757,WVCAc;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"predominantly algal and mechanically deposited limestone, with interbeds of aphanitic limestone and dolomite "
1758,WVCAc;0,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed,"predominantly algal and mechanically deposited limestone, with interbeds of aphanitic limestone and dolomite; contains siliceous and dolomitic laminations. "
1759,WVCAc;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,Bed,Big Sandy Station member near base (dolomite-orthoquartzite) 
1760,WVCAe;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,thin-bedded blue-gray argillaceous limestone with some siliceous limestone 
1761,WVCAe;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,,platy shale 
1762,WVCAe;0,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
1763,WVCAh;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,,with interbeds of fine-grained quartzite. 
1764,WVCApCAc;0,Major,Metamorphic,Metaigneous,Greenstone,,,Greenstone,,greenstone 
1765,WVCApCAc;0,Incidental,Sedimentary,Clastic,Sandstone,Arkose,,Arkose,,Includes minor quantities of arkose and thin clastics 
1766,WVPd;0,Minor,Sedimentary,Coal,,,,Coal,, 
1767,WVCAt;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,,"thick-bedded, blue-gray, aphanitic, saccharoidal, and splintery dolomite, weathering coffee-brown; Contains commercial beds of white, pure, low-silica dolomite. "
1768,WVCAt;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,,some siliceous limestone and black chert. 
1769,WVCAt;0,Minor,Sedimentary,Chemical,Chert,,,Chert,,some siliceous limestone and black chert. 
1770,WVCAw;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,tough quartzitic sandstones 
1771,WVCAw;0,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
1772,WVCAw;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1773,WVCAwy;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1774,WVDbh;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,"Brallier Formation : predominantly olive-gray to dark, thickly laminated marine shale; Harrell Shale: dark gray to black thinly laminated to fissile shale. Calcareous shale and limestone lenses near the base (Tully). "
1775,WVDbh;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,,Brallier Formation : with considerable siltstone and thin sandstone lenses; mainly nonfossiliferous. 
1776,WVDbh;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Lense,Brallier Formation : with considerable siltstone and thin sandstone lenses; mainly nonfossiliferous. 
1777,WVDbh;0,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,Lense,Harrell Shale: Calcareous shale and limestone lenses near the base (Tully). 
1778,WVDch;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed, 
1779,WVDch;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed, 
1780,WVDch;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed, 
1781,WVDch;0,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed, 
1782,WVDh;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,dark gray to black thinly laminated to fissile shale. Calcareous shale near the base (Tully). 
1783,WVDh;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Lense,limestone lenses near the base (Tully). 
1784,WVDhl;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,,mostly cherty limestone 
1785,WVDhl;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1786,WVDhl;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1787,WVDhs;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,non-marine shales 
1788,WVDm;0,Major,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,,predominantly gray-black to black thinly laminated non-calcareous pyritic shale 
1789,WVDm;0,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"Contains one or more thin-bedded limestones, including the Purcell Member of Pennsylvania. "
1790,WVDm;0,Incidental,Sedimentary,Clastic,Mudstone,Shale,,Shale,,predominantly gray-black to black thinly laminated non-calcareous pyritic shale 
1791,WVDmb;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1792,WVDmb;0,Minor,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,, 
1793,WVDmn;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,"Marcellus Formation (part of Millboro Shale): predominantly gray-black to black thinly laminated non-calcareous pyritic shale. Needmore Shale (part of Onesquethaw (""Onondaga"") Group): predominantly dark grey or green, calcitic, mostly non-fissile shale "
1794,WVDmn;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"Marcellus Formation (part of Millboro Shale): contains one or more thin-bedded limestones, including the Purcell Member of Pennsylvania. "
1795,WVDmn;0,Incidental,Sedimentary,Clastic,Mudstone,Claystone,Bentonite,Bentonite,,"Needmore Shale (part of Onesquethaw (""Onondaga"") Group): Tioga Bentonite near the top. "
1796,WVDmn;0,Minor,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,,"Marcellus Formation (part of Millboro Shale): predominantly gray-black to black thinly laminated non-calcareous pyritic shale. Needmore Shale (part of Onesquethaw (""Onondaga"") Group): predominantly dark grey or green, calcitic, mostly non-fissile shale "
1797,WVDmt;0,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1798,WVDmt;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,very fine sandstone 
1799,WVDmt;0,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,Reef,"and some limestone, with an occasional coral reef or biostrome. "
1800,WVDmu;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1801,WVOtbr;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,,"Trenton Group: dark, crystalline, nodular, and argillaceous limestones. Black River Group: predominantly gray aphanitic limestones, with many bioclastic streaks; siliceous in the lower part. "
1802,WVDo;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,"Oriskany Sandstone: White to brown coarse- to fine-grained, partly calcareous sandstone, locally pebbly or conglomeratic, and ridge-forming. May be white, nearly pure silica, and a source of glass sand, as at Berkeley Springs, Morgan County. Huntersville Chert: contains the ""glauconitic"" Bobs Ridge Sandstone Member "
1803,WVDo;0,Major,Sedimentary,Chemical,Chert,,,Chert,,"Huntersville Chert (part of Onesquethaw (""Onondaga"") Group): ranges from a nearly pure slightly calcitic or dolomitic chert to an inter-tonguing of such chert and the Needmore Shale. "
1804,WVDo;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,,"Huntersville Chert (part of Onesquethaw (""Onondaga"") Group): grades westward in the subsurface to a limestone, commonly considered as ""Onondaga"". "
1805,WVDohl;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Calcareous,"Oriskany Sandstone: White to brown coarse- to fine-grained, partly calcareous sandstone, locally pebbly or conglomeratic, and ridge-forming. May be white, nearly pure silica, and a source of glass sand, as at Berkeley Springs, Morgan County. Helderburg Group: some sandstone  "
1806,WVDohl;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,,Helderburg Group: mostly cherty limestone 
1807,WVDohl;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,,Helderburg Group: some sandstone and shale 
1808,WVMbf;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Lense, 
1809,WVMbf;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1810,WVMbf;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1811,WVMbp;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,"the Bluestone Formation is mostly red, green, and medium-gray shale and sandstone; Princeton Sandstone is underneath. "
1812,WVMbp;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,"Bluestone Formation is mostly red, green, and medium-gray shale and sandstone "
1813,WVMg;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed, 
1814,WVMh;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1815,WVMh;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1816,WVMh;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Bed, 
1817,WVMmc;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1818,WVMmc;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1819,WVMmc;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1820,WVMmcc;0,Incidental,Sedimentary,Chemical,Evaporite,Gypsum,,Gypsum,,contains rock salt and gypsum is southwestern Virginia. 
1821,WVMmcc;0,Incidental,Sedimentary,Chemical,Evaporite,Salt,,Salt,,contains rock salt and gypsum is southwestern Virginia. 
1822,WVMmcc;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1823,WVMmcc;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1824,WVMmcc;0,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,,red shale and mudrock 
1825,WVMmp;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,Maccrady Formation: red shale and mudrock; Pocono Group: some shale 
1826,WVMmp;0,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,,Maccrady Formation: red shale and mudrock 
1827,WVMmp;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,Maccrady Formation: red and green sandstone; Pocono Group: predominantly hard gray massive sandstones 
1828,WVMmp;0,Incidental,Sedimentary,Chemical,Evaporite,Salt,,Salt,,Maccrady Formation: contains rock salt and gypsum is southwestern Virginia. 
1829,WVMmp;0,Incidental,Sedimentary,Chemical,Evaporite,Gypsum,,Gypsum,,Maccrady Formation: contains rock salt and gypsum is southwestern Virginia. 
1830,WVMmp;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1831,WVMp;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1832,WVMp;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1833,WVOb;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed, 
1834,WVOb;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed, 
1835,WVOb;0,Minor,Sedimentary,Chemical,Chert,,,Chert,Bed,Various units produce much chert on outcrop 
1836,WVObps;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
1837,WVObps;0,Incidental,Sedimentary,Chemical,Chert,,,Chert,,containing nodular chert. 
1838,WVObr;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,,"predominantly gray aphanitic limestones, with many bioclastic streaks; siliceous in the lower part. "
1839,WVObrr;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed, 
1840,WVObs;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"gray, thin-bedded to massive, fossiliferous limestone, largely mechanically deposited "
1841,WVObs;0,Minor,Sedimentary,Chemical,Chert,,,Chert,,with small black chert nodules 
1842,WVObs;0,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,,"beds of ""edgewise"" conglomerate "
1843,WVOjo;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"the Juniata is a thin-bedded, blocky, red sandstone and shale. In places it is underlain by the thick-bedded, gray Oswego Sandstone. "
1844,WVOjo;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,"the Juniata is a thin-bedded, blocky, red sandstone and shale.  "
1845,WVOm;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,"predominantly gray to dark shale, yellowish in the upper portion; The upper portion constitutes the Reedsville Shale. "
1846,WVOm;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,Contains scattered thin limestone and sandstone interbeds 
1847,WVOm;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,Contains scattered thin limestone and sandstone interbeds 
1848,WVOmc;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Calcareous,"Ordovician, middle calcareous units "
1849,WVOsp;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,,"Predominantly medium-gray aphanitic limestone, containing very low-silica, cream-colored member of considerable economic importance. "
1850,WVOsp;0,Incidental,Sedimentary,Chemical,Chert,,,Chert,,Chert nodules and dolomite occur in the Row Park. 
1851,WVOsp;0,Incidental,Sedimentary,Carbonate,Dolostone,,,Dolostone,,Chert nodules and dolomite occur in the Row Park. 
1852,WVOt;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,,"dark, crystalline, nodular, and argillaceous limestones "
1853,WVOt;0,Incidental,Sedimentary,Clastic,Mudstone,Claystone,Bentonite,Bentonite,,some metabentonite streaks 
1854,WVOtbr;0,Incidental,Sedimentary,Clastic,Mudstone,Claystone,Bentonite,Bentonite,,Trenton Group: with some metabentonite streaks 
1855,WVPAa;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1856,WVPAa;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1857,WVPAa;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1858,WVPAc;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1859,WVPAc;0,"Indeterminate, major",Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1860,WVPAc;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1861,WVPAc;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1862,WVPAk;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,sandstone (approx 50%) 
1863,WVPAk;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1864,WVPAm;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1865,WVPAm;0,"Indeterminate, major",Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1866,WVPAm;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1867,WVPAm;0,Minor,Sedimentary,Coal,,,,Coal,, 
1868,WVPAnr;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1869,WVPAnr;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1870,WVPAnr;0,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1871,WVPAnr;0,Minor,Sedimentary,Coal,,,,Coal,, 
1872,WVPAp;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1873,WVPAp;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1874,WVPAp;0,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1875,WVPAp;0,Minor,Sedimentary,Coal,,,,Coal,, 
1876,WVPApv;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,"Predominantly sandstones, some of which are conglomeratic "
1877,WVPApv;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,,with thin shales and coals 
1878,WVPApv;0,Minor,Sedimentary,Coal,,,,Coal,,with thin shales and coals 
1879,WVPd;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1880,WVPd;0,"Indeterminate, major",Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1881,WVPd;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale,,red and gray shale 
1882,WVPd;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1883,WVQal;0,"Indeterminate, major",Unconsolidated,Coarse-detrital,Sand,,,Sand,Alluvial, 
1884,WVQal;0,"Indeterminate, major",Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Alluvial, 
1885,WVQal;0,"Indeterminate, major",Unconsolidated,Fine-detrital,Silt,,,Silt,Alluvial, 
1886,WVQal;0,"Indeterminate, major",Unconsolidated,Fine-detrital,Clay,,,Clay,Alluvial, 
1887,WVSct;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,McKenzie Formation and Clinton Group: the dark Rochester Shale and the Rose Hill predominantly red shale 
1888,WVSct;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Lense,McKenzie Formation and Clinton Group: with thin limestone lenses 
1889,WVSct;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"McKenzie Formation and Clinton Group: the white Keefer Sandstone; and the Rose Hill predominantly red shale, with thin sandstone interbeds, some of which are called ""iron sandstones"" from their reddish-brown color and hematite content. Tuscarora Sandstone: medium- to thick-bedded, white to gray or pinkish sandstone, fine to coarse, quartzitic, ridge-forming. Equivalent to the Clinch Sandstone of Tennessee. "
1890,WVSmc;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"McKenzie Formation and Clinton Group: the white Keefer Sandstone; and the Rose Hill predominantly red shale, with thin sandstone interbeds, some of which are called ""iron sandstones"" from their reddish-brown color and hematite content.  "
1891,WVSmc;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,the dark Rochester Shale and the Rose Hill predominantly red shale 
1892,WVSmc;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Lense,with thin limestone lenses 
1893,WVSt;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"medium- to thick-bedded, white to gray or pinkish sandstone, fine to coarse, quartzitic, ridge-forming. Equivalent to the Clinch Sandstone of Tennessee. "
1894,WVStw;0,"Indeterminate, major",Sedimentary,Carbonate,Limestone,,,Limestone,Bed,includes the thin-bedded platy argillaceous limestones of the Tonoloway; the fossiliferous limestones of the Wills Creek 
1895,WVStw;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale,,the thin-bedded shale of the Wills Creek 
1896,WVStw;0,"Indeterminate, major",Sedimentary,Clastic,,,,Clastic,,the Bloomsburg red clastic facies 
1897,WVStw;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,,,Sandstone,,greenish-brown to white Williamsport Sandstone. 
1898,WVStw;0,Incidental,Sedimentary,Chemical,Evaporite,Anhydrite,,Anhydrite,,"The Wills Creek contains anhydrite and rock salt, the latter supplying brine from deep wells along the Ohio River. "
1899,WVStw;0,Incidental,Sedimentary,Chemical,Evaporite,Salt,,Salt,,"The Wills Creek contains anhydrite and rock salt, the latter supplying brine from deep wells along the Ohio River. "
1900,WVwater;0,Major,Water,,,,,Water,, 
