,unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
1442,VADSz;0,"Indeterminate, major",Sedimentary,Carbonate,Limestone,,,Limestone,, 
1443,VADSz;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1444,VADx;0,Major,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,, 
1445,VADx;0,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1446,VAfbgr;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,,foliated biotite granite 
1447,VAfbgr;0,Major,Igneous,Plutonic,Granitic,Granite,Monzogranite,Monzogranite,,monzogranite 
1448,VAfcm;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1449,VAfg;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,,gneissic granite 
1450,VAfg;0,Major,Igneous,Plutonic,Granitic,Granodiorite,,Granodiorite,, 
1451,VAfr;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1452,VAg;0,Major,Igneous,Plutonic,Granitic,Granodiorite,,Granodiorite,, 
1453,VAga;0,Major,Igneous,Plutonic,Gabbroic,Gabbro,,Gabbro,,hornblende gabbro 
1454,VAga;0,Minor,Igneous,Plutonic,Gabbroic,Gabbro,Norite,Norite,, 
1455,VAga;0,Minor,Igneous,Plutonic,Ultramafic,Hornblendite,,Hornblendite,, 
1456,VAgn;0,Major,Metamorphic,Gneiss,,,,Gneiss,,Gneiss as exotic blocks within melange units 
1457,VAgns;0,Major,Metamorphic,Schist,,,,Schist,, 
1458,VAgr;0,Major,Igneous,Plutonic,Granitic,,,Granitic,,granitoid blocks within melange units 
1459,VAgrb;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,,biotite granite 
1460,VAPAwg;0,"Indeterminate, major",Sedimentary,Coal,,,,Coal ,,
1461,VAgrbi;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,,biotite granite 
1462,VAgrc;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1463,VAgrp;0,Major,Igneous,Plutonic,Granitic,,,Granitic,,Porphyritic granite 
