,Strike,Dip_Angle,Symbol,Dip_Direct,geometry,Station,long,lat,Anticline_ID,Latitude_Bins,Compass_direct,Interlimb_Angle
717,0,0,2,0,POINT (-8820316.189917816 4725871.2188237365),757,-79.22914695,39.05074823,21,"(39.0, 39.5]",NW,115.16071428571428
718,0,0,2,0,POINT (-8820061.22240595 4727511.665194066),758,-79.22914695,39.05074823,21,"(39.0, 39.5]",NW,115.16071428571428
716,15,17,1,105,POINT (-8819747.256322172 4727557.467266446),756,-79.22914695,39.05074823,21,"(39.0, 39.5]",SE,115.16071428571428
719,30,32,1,120,POINT (-8819874.80899019 4727894.134731366),759,-79.22914695,39.05074823,21,"(39.0, 39.5]",SE,115.16071428571428
733,188,30,1,278,POINT (-8820333.06123326 4729362.231465153),773,-79.22914695,39.05074823,21,"(39.0, 39.5]",NW,115.16071428571428
732,188,45,1,278,POINT (-8819648.304195335 4730972.275111847),772,-79.22914695,39.05074823,21,"(39.0, 39.5]",NW,115.16071428571428
731,10,5,1,100,POINT (-8819149.233163308 4731253.027970589),771,-79.22914695,39.05074823,21,"(39.0, 39.5]",SE,115.16071428571428
1017,201,57,1,290,POINT (-8819239.29495822 4731949.046335905),777,-79.22914695,39.05074823,21,"(39.0, 39.5]",NW,115.16071428571428
737,15,28,1,105,POINT (-8817716.150207339 4732115.251598427),776A,-79.22914695,39.05074823,21,"(39.0, 39.5]",SE,115.16071428571428
42,12,20,1,102,POINT (-8809778.377632944 4750780.4930758085),95,-79.12863364,39.21341716,22,"(39.0, 39.5]",SE,
309,220,75,1,310,POINT (-8798295.160475366 4771497.795609831),282,-79.04787675,39.32706361,23,"(39.0, 39.5]",NW,133.0
345,348,5,1,78,POINT (-8796978.862169454 4772511.807246371),278,-79.04787675,39.32706361,23,"(39.0, 39.5]",SE,133.0
344,225,9,1,315,POINT (-8797137.183119893 4772765.315175729),279,-79.04787675,39.32706361,23,"(39.0, 39.5]",NW,133.0
2035,9,13,1,99,POINT (-8752528.660222283 4719381.10623689),,-78.64254044,39.00980387,27,"(39.0, 39.5]",SE,66.6
2034,223,45,1,313,POINT (-8752641.11761918 4719518.57588796),,-78.64254044,39.00980387,27,"(39.0, 39.5]",NW,66.6
2029,29,75,4,119,POINT (-8752804.788658366 4720579.338391183),,-78.64254044,39.00980387,27,"(39.0, 39.5]",SE,66.6
2031,39,77,1,129,POINT (-8752533.712380784 4720821.65554048),,-78.64254044,39.00980387,27,"(39.0, 39.5]",SE,66.6
2025,51,70,1,141,POINT (-8752746.341973351 4721508.128478632),,-78.64254044,39.00980387,27,"(39.0, 39.5]",SE,66.6
2024,32,78,4,122,POINT (-8752624.708273891 4721534.470686713),,-78.64254044,39.00980387,27,"(39.0, 39.5]",SE,66.6
1972,265,51,1,355,POINT (-8753425.468685878 4721596.518122751),,-78.64254044,39.00980387,27,"(39.0, 39.5]",NW,66.6
1973,245,58,1,335,POINT (-8753280.745967576 4721630.48632754),,-78.64254044,39.00980387,27,"(39.0, 39.5]",NW,66.6
2015,50,32,1,140,POINT (-8753179.029174736 4725244.88993934),,-78.64254044,39.00980387,27,"(39.0, 39.5]",SE,66.6
1994,250,45,1,340,POINT (-8753342.12594845 4725254.085889565),,-78.64254044,39.00980387,27,"(39.0, 39.5]",NW,66.6
2010,39,64,1,129,POINT (-8752777.164441649 4725670.961985465),,-78.64254044,39.00980387,27,"(39.0, 39.5]",SE,66.6
2009,235,70,1,325,POINT (-8752972.357501097 4725710.557693315),,-78.64254044,39.00980387,27,"(39.0, 39.5]",NW,66.6
5876,104,12,1,194,POINT (-8723770.862424158 4778827.474824708),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
5875,134,33,1,224,POINT (-8723771.942935666 4779080.3795571895),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5871,144,35,1,234,POINT (-8723828.56073569 4779370.927670693),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5873,166,13,1,256,POINT (-8723613.66986802 4779527.416186646),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5874,75,15,1,165,POINT (-8723484.413435923 4779691.146501281),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
5872,184,43,1,274,POINT (-8723909.394624747 4779752.562021182),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5910,191,63,1,281,POINT (-8723856.315759439 4780172.686470722),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5903,14,28,1,104,POINT (-8723283.925112175 4780179.511001464),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
5908,206,78,1,296,POINT (-8723381.179757787 4780387.031112567),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5899,51,88,4,141,POINT (-8723152.64947389 4780625.578154051),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
5909,201,58,1,291,POINT (-8723771.688552236 4780696.461184162),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5905,204,51,1,294,POINT (-8723685.386718296 4781063.507117447),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5907,192,67,1,282,POINT (-8723356.698331462 4781241.012230155),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5906,25,55,1,115,POINT (-8723769.248475818 4781246.452354091),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
5934,208,82,1,298,POINT (-8723395.345864521 4781440.29508961),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5930,202,72,1,292,POINT (-8723752.917771133 4781479.160923158),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5931,198,65,1,288,POINT (-8723604.499094345 4781520.274748274),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5933,24,52,4,114,POINT (-8723162.493876493 4781731.305334693),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
5932,196,77,1,286,POINT (-8723487.71425107 4781740.0278740935),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5924,15,6,1,105,POINT (-8722845.285614522 4782050.569684383),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
5923,194,41,1,284,POINT (-8722893.149573898 4782161.6980591),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6613,200,74,1,290,POINT (-8723509.339015447 4782180.433069542),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5922,199,29,1,289,POINT (-8723009.806060482 4782274.433857588),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5920,197,25,1,287,POINT (-8723274.992379252 4782404.607415413),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5936,210,88,1,300,POINT (-8722727.561331678 4781965.0583525915),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
5935,38,8,1,128,POINT (-8722335.375632824 4782678.172368179),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
5921,191,33,1,281,POINT (-8722882.747323932 4782778.98749576),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6026,11,71,1,101,POINT (-8723444.658124562 4782906.414727243),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6020,196,73,1,286,POINT (-8723253.966365796 4783099.688068368),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6610,197,45,1,287,POINT (-8722814.433799708 4783918.390991926),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6008,26,12,1,116,POINT (-8722304.99113571 4783319.245427085),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6007,58,14,1,148,POINT (-8722109.479550421 4783439.486627854),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6025,47,5,1,137,POINT (-8722318.721677355 4783605.253093033),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6024,207,32,1,297,POINT (-8722445.081617469 4783642.356806447),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6023,214,36,1,304,POINT (-8722575.339166403 4783644.576726657),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6021,188,25,1,278,POINT (-8722744.343644524 4783735.73233405),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6016,21,33,1,111,POINT (-8721906.038720146 4783880.013315727),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6022,181,24,1,271,POINT (-8722650.851268563 4783910.731529759),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6017,186,54,1,276,POINT (-8722004.921537582 4784075.012619253),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6019,21,39,1,111,POINT (-8723634.398679283 4784311.005661828),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6039,194,47,1,284,POINT (-8723179.744479386 4784353.153452762),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6038,24,54,1,114,POINT (-8723512.22311856 4784386.70257625),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6034,58,15,1,148,POINT (-8723696.999386836 4784649.587065099),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6050,212,24,1,302,POINT (-8722410.811741248 4784459.329317198),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6041,190,58,1,280,POINT (-8722995.027855013 4784820.231472086),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
6035,58,19,1,148,POINT (-8723532.549589308 4784820.997988065),,-78.35982768,39.42406272,30,"(39.0, 39.5]",SE,99.85714285714286
6040,189,26,1,279,POINT (-8723053.822763884 4784832.670533998),,-78.35982768,39.42406272,30,"(39.0, 39.5]",NW,99.85714285714286
