,Point_Number,Geometry,Quad,Strike,Dip_Angle,Dip_Direct,Interlimb_angle,Vert_Exag,long,lat,Unnamed: 0,Symbol,geometry,Station,Anticline_ID,Latitude_Bins,Compass_direct,Interlimb_Angle,IA,Lat_bins
34,43,-077.82643896 40.70407194,Mcalveysfort,200.0,28.0,NW,,,-077.82643896,40.70407194,,,POINT (-77.82643896 40.70407194),,,,,,,"(40.5, 41.0]"
35,43,-077.82377166 40.70171678,Mcalveysfort,10.0,40.0,SE,,,-077.82377166,40.70171678,,,POINT (-77.82377166 40.70171678),,,,,,,"(40.5, 41.0]"
36,43,-077.82643896 40.70407194,Mcalveysfort_Greenlee_crosssection,,,,110.0,,-077.82643896,40.70407194,,,POINT (-77.82643896 40.70407194),,,,,,110.0,"(40.5, 41.0]"
37,32,-078.27939079 40.52610520,Frankstown,35.0,17.0,SE,,,-078.27939079,40.5261052,,,POINT (-78.27939079 40.5261052),,,,,,,"(40.5, 41.0]"
38,32,-078.31285622 40.50697172,Frankstown,45.0,26.0,SE,,,-078.31285622,40.50697172,,,POINT (-78.31285622 40.50697172),,,,,,,"(40.5, 41.0]"
39,32,-078.36141093 40.51250120,Frankstown,220.0,23.0,NW,,,-078.36141093,40.5125012,,,POINT (-78.36141093 40.5125012),,,,,,,"(40.5, 41.0]"
40,32,-078.36141093 40.51250120,Frankstown,230.0,21.0,NW,,,-078.36141093,40.5125012,,,POINT (-78.36141093 40.5125012),,,,,,,"(40.5, 41.0]"
41,32,-078.32100985 40.52828982,Frankstown,209.0,16.0,NW,,,-078.32100985,40.52828982,,,POINT (-78.32100985 40.52828982),,,,,,,"(40.5, 41.0]"
42,32,-078.30994413 40.54051275,Frankstown,205.0,30.0,NW,,,-078.30994413,40.54051275,,,POINT (-78.30994413 40.54051275),,,,,,,"(40.5, 41.0]"
43,32,-078.28559438 40.62058601,Frankstown,240.0,53.0,NW,,,-078.28559438,40.62058601,,,POINT (-78.28559438 40.62058601),,,,,,,"(40.5, 41.0]"
44,32,-078.28559438 40.62058601,Frankstown_Brush_Mountain_crosssection,,,,130.0,,-078.28559438,40.62058601,,,POINT (-78.28559438 40.62058601),,,,,,130.0,"(40.5, 41.0]"
45,41,-077.77103553 40.38904418,NewtonHamilton,32.0,40.0,SE,,,-077.77103553,40.38904418,,,POINT (-77.77103553 40.38904418),,,,,,,"(40.0, 40.5]"
46,41,-077.76722405 40.40749700,NewtonHamilton,44.0,41.0,SE,,,-077.76722405,40.407497,,,POINT (-77.76722405 40.407497),,,,,,,"(40.0, 40.5]"
47,41,-077.76722405 40.40749700,NewtonHamilton_BlueMountain_Crosssection,,,,95.0,,-077.76722405,40.407497,,,POINT (-77.76722405 40.407497),,,,,,95.0,"(40.0, 40.5]"
48,44,-077.54404170 40.39356934,Mccoysville_blacklog_Mountain_crosssection,,,,70.0,,-077.54404170,40.39356934,,,POINT (-77.5440417 40.39356934),,,,,,70.0,"(40.0, 40.5]"
49,44,-077.54404170 40.39356934,Mccoysville_tuscarora_mountain_crosssection,,,,89.0,,-077.54404170,40.39356934,,,POINT (-77.5440417 40.39356934),,,,,,89.0,"(40.0, 40.5]"
50,44,-077.54404170 40.39356934,Mccoysville_conococheague_mountan_crosssection,,,,107.0,,-077.54404170,40.39356934,,,POINT (-77.5440417 40.39356934),,,,,,107.0,"(40.0, 40.5]"
51,44,-077.49926218 40.27896559,Loysville_tuscarora_mountain,,,,94.0,,-077.49926218,40.27896559,,,POINT (-77.49926218 40.27896559),,,,,,94.0,"(40.0, 40.5]"
52,44,-077.39960823 40.47781213,Loysville,236.0,55.0,NW,,,-077.39960823,40.47781213,,,POINT (-77.39960823 40.47781213),,,,,,,"(40.0, 40.5]"
53,44,-077.39567420 40.47668097,Loysville,236.0,40.0,NW,,,-077.39567420,40.47668097,,,POINT (-77.3956742 40.47668097),,,,,,,"(40.0, 40.5]"
54,44,-077.39382109 40.47737938,Loysville,234.0,30.0,NW,,,-077.39382109,40.47737938,,,POINT (-77.39382109 40.47737938),,,,,,,"(40.0, 40.5]"
55,44,-077.38069823 40.46970829,Loysville,62.0,56.0,SE,,,-077.38069823,40.46970829,,,POINT (-77.38069823 40.46970829),,,,,,,"(40.0, 40.5]"
56,44,-077.38136493 40.46897291,Loysville,57.0,58.0,SE,,,-077.38136493,40.46897291,,,POINT (-77.38136493 40.46897291),,,,,,,"(40.0, 40.5]"
57,44,-077.37007648 40.47614289,Loysville,43.0,36.0,SE,,,-077.37007648,40.47614289,,,POINT (-77.37007648 40.47614289),,,,,,,"(40.0, 40.5]"
58,47,-077.46447652 40.28813002,Loysville,46.0,55.0,SE,,,-077.46447652,40.28813002,,,POINT (-77.46447652 40.28813002),,,,,,,"(40.0, 40.5]"
59,47,-077.46602854 40.28636866,Loysville,40.0,63.0,SE,,,-077.46602854,40.28636866,,,POINT (-77.46602854 40.28636866),,,,,,,"(40.0, 40.5]"
60,47,-077.39887943 40.30212757,Loysville,236.0,80.0,NW,,,-077.39887943,40.30212757,,,POINT (-77.39887943 40.30212757),,,,,,,"(40.0, 40.5]"
61,47,-077.40117032 40.30028350,Loysville,234.0,50.0,NW,,,-077.40117032,40.3002835,,,POINT (-77.40117032 40.3002835),,,,,,,"(40.0, 40.5]"
62,47,-077.49926218 40.27896559,Loysville,220.0,35.0,NW,,,-077.49926218,40.27896559,,,POINT (-77.49926218 40.27896559),,,,,,,"(40.0, 40.5]"
63,47,-077.41053801 40.32431100,Loysville,214.0,25.0,NW,,,-077.41053801,40.324311,,,POINT (-77.41053801 40.324311),,,,,,,"(40.0, 40.5]"
64,47,-077.49926218 40.27896559,Loysville_BowersMountain,,,,105.0,,-077.49926218,40.27896559,,,POINT (-77.49926218 40.27896559),,,,,,105.0,"(40.0, 40.5]"
65,44,-077.54404170 40.39356934,Mccoysville,52.0,29.0,SE,,,-077.54404170,40.39356934,,,POINT (-77.5440417 40.39356934),,,,,,,"(40.0, 40.5]"
66,44,-077.54833363 40.39775293,Mccoysville,228.0,38.0,NW,,,-077.54833363,40.39775293,,,POINT (-77.54833363 40.39775293),,,,,,,"(40.0, 40.5]"
67,44,-077.54833363 40.39775293,Mccoysville_tuscarora_inchannel,,,,114.0,,-077.54833363,40.39775293,,,POINT (-77.54833363 40.39775293),,,,,,114.0,"(40.0, 40.5]"
68,44,-077.62427152 40.45293749,Mccoysville,28.0,51.0,SE,,,-077.62427152,40.45293749,,,POINT (-77.62427152 40.45293749),,,,,,,"(40.0, 40.5]"
69,44,-077.62427152 40.45293749,Mccoysville,15.0,37.0,SE,,,-077.62427152,40.45293749,,,POINT (-77.62427152 40.45293749),,,,,,,"(40.0, 40.5]"
70,44,-077.62259839 40.48525671,Mccoysville,228.0,50.0,NW,,,-077.62259839,40.48525671,,,POINT (-77.62259839 40.48525671),,,,,,,"(40.0, 40.5]"
71,44,-077.62427152 40.45293749,Mccoysville_Blacklog,,,,93.0,,-077.62427152,40.45293749,,,POINT (-77.62427152 40.45293749),,,,,,93.0,"(40.0, 40.5]"
72,27,-078.67383703 39.87229200,Bedford,32.0,60.0,SE-overturned,,,-078.67383703,39.872292,,,POINT (-78.67383703 39.872292),,,,,,,"(39.5, 40.0]"
73,27,-078.67287930 39.87436546,Bedford,30.0,85.0,SE-overturned,,,-078.67287930,39.87436546,,,POINT (-78.6728793 39.87436546),,,,,,,"(39.5, 40.0]"
74,27,-078.65722608 39.85156810,Bedford,35.0,18.0,SE,,,-078.65722608,39.8515681,,,POINT (-78.65722608 39.8515681),,,,,,,"(39.5, 40.0]"
75,27,-078.65317086 39.85031722,Bedford,50.0,23.0,SE,,,-078.65317086,39.85031722,,,POINT (-78.65317086 39.85031722),,,,,,,"(39.5, 40.0]"
